log10(M_*[Msun]),sSFR[1/yr](20Myr),sSFR[1/yr](1Gyr),log10(M_HI[Msun]),sigma_*(<0.8kpc)[km/s],log10(M_BH[Msun])
8.0474,NaN,NaN,-Inf,NaN,-Inf
8.072,NaN,NaN,-Inf,17.673,-Inf
8.0722,NaN,NaN,-Inf,23.464,-Inf
8.0319,NaN,NaN,-Inf,5.186,-Inf
12.355,6.0038e-13,1.0896e-12,10.362,257.18,8.1412
11.05,1.0151e-10,1.4454e-10,10.323,100.08,7.5336
10.797,1.0932e-10,7.6982e-11,9.6732,99.986,7.4059
10.469,7.5654e-11,1.0281e-10,9.8455,75.681,7.3052
9.7646,6.3765e-11,4.2783e-11,9.6333,56.377,6.7477
10.247,6.165e-12,9.0066e-12,8.6835,56.241,-Inf
9.6801,5.8976e-11,4.3692e-11,9.2206,50.732,6.5628
9.5804,7.1635e-11,7.0046e-11,9.5022,43.733,6.2994
9.1937,0,2.8577e-11,9.0034,37.318,6.2874
8.7671,2.068e-10,8.2529e-11,9.3493,32.198,-Inf
9.0852,0,9.6417e-12,8.9327,35.888,-Inf
8.5144,0,2.6959e-11,8.8725,49.038,-Inf
8.5791,0,1.016e-11,8.845,34.568,-Inf
8.3646,0,8.3676e-11,9.088,20.574,-Inf
8.3194,0,0,-Inf,8.8904,-Inf
8.6108,0,0,-Inf,25.212,-Inf
8.1164,NaN,NaN,-Inf,8.0549,-Inf
8.6325,0,0,-Inf,35.339,-Inf
8.086,NaN,NaN,-Inf,15.261,-Inf
8.2522,0,0,-Inf,19.853,-Inf
8.1249,NaN,NaN,-Inf,17.512,-Inf
12.485,2.399e-14,5.349e-14,10.088,391.43,10.315
10.994,0,1.2466e-12,8.0066,95.564,8.3072
11.001,4.0167e-11,4.9398e-11,9.4852,86.272,7.8489
10.612,0,4.1471e-12,8.4611,81.398,7.5292
10.407,1.3629e-11,2.3633e-11,9.5584,67.132,7.1282
10.082,1.9628e-11,5.5722e-11,9.6617,58.9,6.4205
10.051,8.3748e-12,2.4236e-12,8.498,63.461,7.0721
9.7644,6.5346e-11,9.0922e-11,9.7533,43.681,6.4297
9.8655,0,3.0697e-12,8.4979,56.122,6.8857
9.7179,0,3.8978e-13,8.1739,51.821,-Inf
9.7999,0,0,-Inf,45.733,-Inf
9.7341,0,9.9319e-12,8.932,48.275,6.7931
9.7633,0,0,-Inf,40.592,-Inf
9.1319,1.9444e-10,6.191e-11,9.5021,45.497,5.8343
9.6076,3.1747e-11,1.6828e-11,9.4188,38.738,-Inf
9.6353,0,0,-Inf,29.878,-Inf
8.9811,0,8.3208e-11,9.4637,26.953,6.2461
9.1012,5.5107e-11,1.7975e-11,8.9215,41.597,6.1925
8.9053,1.1087e-10,7.9169e-11,9.345,24.427,-Inf
8.7995,0,5.3041e-11,9.1559,27.042,-Inf
9.0347,0,0,8.0965,25.292,-Inf
8.4316,2.1979e-10,5.0872e-11,9.1341,26.015,-Inf
9.0945,0,0,-Inf,28.675,-Inf
8.141,NaN,NaN,8.4572,48.356,-Inf
8.6225,0,0,-Inf,27.668,-Inf
8.4492,0,3.05e-11,8.5523,25.172,-Inf
8.9835,0,0,-Inf,25.792,-Inf
8.515,0,0,-Inf,30.491,-Inf
8.0984,NaN,NaN,8.107,22.05,-Inf
8.1695,0,0,-Inf,32.158,-Inf
8.3382,0,0,-Inf,15.629,-Inf
8.0154,NaN,NaN,-Inf,19.897,-Inf
8.0643,NaN,NaN,-Inf,29.727,-Inf
12.16,3.2323e-13,5.8554e-13,10.411,304.27,9.9693
11.724,0,1.0516e-13,9.2117,194.24,9.3343
11.424,7.5944e-13,2.4836e-12,8.3125,161.69,8.892
11.654,0,1.3333e-12,8.2807,186.04,9.095
11.813,7.5664e-13,2.3006e-12,9.3717,205.67,9.2235
11.243,4.0764e-13,6.5641e-13,8.0544,139.97,8.6066
11.085,0,0,7.6956,110.92,8.3847
10.8,0,0,-Inf,89.541,8.2493
10.944,1.1475e-11,1.2517e-11,9.4477,89.878,7.939
10.657,1.3199e-11,1.4251e-11,9.2111,97.073,7.9519
10.101,1.4006e-10,1.2051e-10,10.014,58.203,6.7628
10.377,3.7757e-11,8.5289e-11,9.4587,72.414,6.9699
10.078,1.0199e-10,8.7682e-11,9.9034,67.288,6.4476
10.128,0,0,5.692,72.171,7.6626
9.992,1.2261e-11,2.2374e-11,9.3429,59.593,7.1167
9.719,5.7103e-11,1.2211e-10,9.956,52.385,6.2703
9.7457,5.4175e-11,1.2002e-10,9.883,47.938,6.1174
9.4202,1.8536e-10,1.1814e-10,9.7565,47.859,5.8175
9.4163,4.1833e-11,5.4047e-11,9.5084,43.359,6.4948
9.4792,5.3566e-11,8.2623e-11,9.6276,44.846,6.154
9.6981,5.6771e-11,3.6939e-11,9.5976,44.232,6.4007
9.4832,2.5572e-11,8.1673e-11,9.5505,42.815,6.3255
