log10(M_*[Msun]),sSFR[1/yr](20Myr),sSFR[1/yr](1Gyr),log10(M_HI[Msun]),sigma_*(<0.8kpc)[km/s],log10(M_BH[Msun])
10.112,3.8656e-10,2.6026e-10,10.305,74.217,6.0849
10.22,1.5871e-10,1.3712e-10,10.165,70.383,6.6601
9.7519,1.3424e-10,8.2823e-11,9.9281,56.15,6.2981
10.004,1.4436e-10,1.3616e-10,10.17,56.855,6.1689
9.8739,1.8914e-10,1.7307e-10,10.176,64.177,6.2013
9.9959,1.6832e-10,1.3617e-10,10.266,46.727,6.5892
9.7432,2.6909e-10,1.5598e-10,10.017,61.902,6.2023
9.0382,0,1.7394e-10,9.845,36.417,6.258
9.7469,1.6289e-10,1.4597e-10,10.073,44.98,6.3426
9.6609,1.3026e-10,9.563e-11,10.03,51.278,6.1662
8.4196,4.9723e-10,1.0136e-10,9.274,20.682,-Inf
9.6703,1.3528e-10,1.442e-10,10.065,51.419,6.1613
9.7469,1.8244e-10,1.2814e-10,9.8873,56.97,6.3496
10.231,1.4406e-10,1.0952e-10,10.108,64.696,6.4332
10.081,2.9214e-11,1.8497e-11,9.554,58.939,7.4329
9.068,0,6.7587e-11,9.4805,37.208,6.1378
8.4362,0,0,-Inf,27.394,-Inf
9.7552,1.8259e-10,1.295e-10,9.886,56.305,6.1873
9.4126,1.405e-10,1.7971e-10,9.9701,42.3,6.2136
8.9163,3.69e-10,2.33e-10,9.6437,31.883,6.0809
10.089,5.7936e-11,1.0288e-10,10.143,49.781,6.8874
9.9638,1.3709e-10,1.6408e-10,9.899,62.983,6.5651
10.152,1.2906e-10,1.1184e-10,10.079,69.066,6.9785
10.194,1.5015e-10,1.8914e-10,10.159,71.089,6.703
9.9585,3.8883e-10,1.8301e-10,10.363,51.864,6.3065
9.709,2.6427e-10,1.6676e-10,10.061,52.317,6.5544
10.217,1.0217e-10,1.1321e-10,10.151,61.456,6.6667
10.012,1.8684e-10,1.1929e-10,9.9128,62.206,6.6529
8.9962,0,1.5459e-10,9.6483,31.597,-Inf
10.325,3.3477e-10,2.3137e-10,10.305,70.336,6.5225
10.361,1.6939e-10,1.5301e-10,10.196,75.961,6.6218
9.9977,1.1874e-10,1.5471e-10,10.256,55.192,6.1672
10.004,1.0277e-10,1.7692e-10,10.255,49.855,6.6168
10.156,1.0756e-10,8.4056e-11,9.8654,58.943,7.1907
8.1497,NaN,NaN,9.059,27.978,-Inf
10.189,3.3031e-10,2.139e-10,10.305,54.046,6.4457
9.9646,2.9718e-10,3.569e-10,10.16,73.043,6.5902
9.6203,1.0632e-11,9.3159e-11,10.028,43.57,6.1141
9.7841,1.1187e-10,1.1554e-10,9.9393,58.029,6.1721
8.6011,3.8492e-10,1.4347e-10,9.3618,26.402,-Inf
10.043,1.2466e-10,9.0764e-11,10.07,61.604,6.252
9.077,5.1839e-11,6.9567e-11,9.686,46.849,6.2325
10.016,2.3441e-10,1.7675e-10,10.292,61.146,6.5644
10.034,6.4175e-11,6.3173e-11,9.71,61.903,7.2349
9.9893,2.3658e-10,1.6854e-10,10.313,56.561,6.6199
10.213,8.7516e-11,9.2208e-11,9.9416,65.334,7.1084
10.054,1.108e-10,1.4234e-10,10.1,57.303,6.2611
9.1542,3.8692e-11,1.3398e-10,9.603,40.314,-Inf
10.046,2.4976e-10,2.0088e-10,10.085,65.032,6.6246
8.108,NaN,NaN,9.1447,25.589,-Inf
10.174,2.0188e-10,1.4011e-10,10.104,71.976,6.5903
8.0377,NaN,NaN,9.2582,32.238,-Inf
9.8853,3.1551e-10,1.3726e-10,10.043,52.163,6.6513
9.409,3.1562e-10,1.0561e-10,9.9977,57.253,5.8952
10.225,2.6712e-10,1.7677e-10,10.315,63.094,6.2067
10.199,1.2963e-10,1.6706e-10,10.219,59.755,6.5104
10.174,1.7242e-10,1.8928e-10,10.184,74.707,6.4687
10.195,1.3543e-10,1.529e-10,10.214,61.639,6.5626
10.239,1.5513e-10,1.4796e-10,10.169,67.887,6.6843
10.266,2.7179e-10,1.5482e-10,10.271,68.153,6.1799
10.014,0,9.3653e-12,9.2353,67.513,7.5898
9.7637,7.0499e-11,6.494e-11,9.8636,55.949,6.5077
10.306,1.3344e-10,1.7483e-10,10.156,59.75,6.668
10.34,1.5027e-10,1.4237e-10,10.227,70.309,6.5756
8.1401,NaN,NaN,9.0811,0,-Inf
10.123,1.0543e-10,6.5889e-11,9.9353,56.536,6.9464
10.056,6.964e-11,7.1141e-11,10.117,59.019,6.882
10.253,1.6965e-10,1.9184e-10,10.291,60.091,6.5422
10.229,1.3516e-10,1.1976e-10,10.048,57.532,6.725
10.11,6.4367e-11,5.3483e-11,9.8527,60.11,6.8842
8.2784,0,9.2678e-12,8.6092,40.774,-Inf
10.137,1.5973e-10,1.5832e-10,10.29,52.251,6.7351
9.7561,2.8197e-10,1.7977e-10,10.271,52.855,6.0525
10.093,1.2322e-10,1.3676e-10,10.125,65.562,6.4945
9.7752,4.5039e-11,1.0474e-10,9.8247,50.119,6.4032
10.229,1.7857e-10,1.2201e-10,10.25,75.363,6.684
9.4132,5.8958e-11,1.0386e-10,9.809,41.49,6.1601
9.2252,9.0563e-11,7.7444e-11,9.4354,46.829,6.3026
8.8214,2.1355e-10,5.924e-11,9.3923,38.252,6.2106
8.2857,0,4.0438e-11,9.0542,26.42,-Inf
10.248,2.561e-10,1.7628e-10,10.297,65.448,6.1025
10.142,1.4891e-11,1.5371e-11,9.4936,67.565,7.3524
9.5899,1.8206e-10,1.7647e-10,10.01,44.636,6.2996
8.6742,1.2402e-10,8.5308e-11,9.5465,38.491,-Inf
10.055,7.9096e-11,6.341e-11,10.011,55.547,7.2196
10.286,3.567e-11,6.0119e-11,9.821,72.814,7.0584
9.9362,3.9962e-11,6.765e-11,9.9436,61.422,6.5304
9.4743,2.9381e-11,1.1376e-10,9.838,42.68,6.0584
10.204,7.8444e-11,1.2177e-10,10.139,68.501,6.6205
10.249,2.9207e-10,1.6755e-10,10.276,63.516,6.5194
10.33,1.5805e-10,1.1263e-10,9.8581,75.356,7.1149
10.134,1.4275e-10,1.2721e-10,9.9861,56.28,6.7401
10.331,3.6189e-11,4.345e-11,9.7282,69.727,6.997
8.1949,0,0,8.6776,35.594,-Inf
9.6428,1.864e-10,1.4783e-10,10.052,50.591,6.1379
10.117,2.5929e-10,1.7861e-10,10.3,65.365,6.3325
10.051,8.4097e-11,9.3637e-11,10.098,56.916,6.8387
10.196,8.9763e-11,1.1004e-10,10.219,60.866,6.8332
10.27,1.6155e-10,2.0513e-10,10.333,62.87,6.3528
10.05,8.352e-11,9.8961e-11,10.208,60.885,6.6231
10.367,1.774e-10,1.4001e-10,10.245,65.845,6.3564
10.229,2.824e-10,1.8721e-10,10.33,63.218,6.4947
10.113,1.1294e-10,1.2699e-10,10.173,68.789,6.7443
10.307,1.6373e-10,1.4536e-10,10.076,71.332,6.643
9.5214,5.0704e-11,3.5245e-11,9.3687,49.145,6.9832
8.556,0,5.1742e-11,9.3479,30.888,-Inf
10.088,1.6694e-10,1.4722e-10,10.347,58.653,6.4338
9.9382,3.1133e-10,1.2132e-10,10.226,56.453,6.6782
10.207,1.7987e-10,1.5548e-10,10.2,61.051,6.4299
10.341,1.6322e-10,1.7846e-10,10.282,67.733,6.5088
10.256,2.0604e-10,1.6431e-10,10.211,76.575,6.6691
10.19,2.2562e-10,2.134e-10,10.334,48.984,6.4158
10.167,6.8552e-11,1.0324e-10,10.192,60.141,6.5265
10.029,3.7844e-10,2.2088e-10,10.252,56.562,6.5013
10.177,1.8564e-10,1.3929e-10,9.7102,69.74,6.9127
10.242,1.1297e-10,9.4189e-11,10.077,62.954,6.7436
10.256,5.4144e-11,4.4171e-11,9.7423,72.387,7.0942
9.9473,1.3575e-10,1.1248e-10,10.054,62.103,6.7353
10.123,1.0618e-10,1.0986e-10,10.276,53.167,6.4761
10.333,8.8349e-11,1.2113e-10,10.152,64.015,6.4409
10.16,2.0353e-10,2.0146e-10,10.279,54.164,6.6943
10.104,1.5364e-10,2.4412e-10,10.383,59.412,6.1967
10.104,2.4138e-10,1.3767e-10,10.153,86.099,6.5135
9.8152,3.4259e-10,2.7299e-10,10.274,59.316,6.4519
9.9961,1.7657e-10,1.2119e-10,10.119,56.225,6.8033
10.157,1.213e-10,8.1328e-11,10.036,62.751,6.7967
10.224,2.1483e-10,2.0796e-10,10.202,46.093,6.4186
10.217,1.5078e-10,1.4504e-10,10.058,65.341,6.8444
10.132,3.2455e-11,3.4839e-11,9.5575,58.547,7.387
9.9898,1.142e-10,1.0491e-10,9.9773,55.491,6.6295
8.9022,0,1.2087e-10,9.5332,40.531,-Inf
9.9484,1.5367e-10,1.9901e-10,10.324,50.697,6.4457
10.126,1.1481e-10,1.3115e-10,10.221,50.719,6.7969
10.254,1.8027e-10,1.827e-10,10.29,60.726,6.107
10.143,8.5675e-11,5.6828e-11,9.7881,67.472,7.02
10.282,1.8558e-10,1.4358e-10,10.192,66.07,6.3319
10.072,2.0023e-10,1.4094e-10,9.7934,56.224,6.9555
9.8774,3.2266e-10,1.7386e-10,10.165,53.039,6.1192
9.8685,1.6159e-10,1.1756e-10,9.8891,49.114,6.6445
10.145,9.5767e-11,8.6937e-11,10.091,53.316,6.7927
10.083,1.5258e-10,1.2297e-10,10.094,68.689,6.8758
10.167,9.9746e-11,1.1864e-10,10.247,58.781,6.7419
10.271,1.2276e-10,1.0033e-10,9.8032,81.53,7.3193
10.294,1.2655e-10,8.9266e-11,10.006,62.557,7.0896
9.8084,1.7077e-11,5.7167e-11,9.7213,53.489,6.3441
9.5903,1.2164e-10,8.1022e-11,9.7288,42.354,6.2838
9.2467,8.8709e-11,8.2462e-11,9.4918,34.164,5.9383
8.4892,0,0,-Inf,28.775,-Inf
8.0752,NaN,NaN,-Inf,12.856,-Inf
10.03,1.1848e-10,1.1737e-10,10.123,52.604,6.8045
10.159,1.9465e-10,1.558e-10,10.216,72.718,6.5799
10.036,1.5923e-10,1.4439e-10,10.122,49.517,6.4684
8.8692,1.9481e-10,2.883e-10,9.615,25.411,6.3081
10.169,2.7548e-10,2.0073e-10,10.322,55.226,6.5447
9.7816,1.1335e-10,1.4939e-10,9.7695,49.255,6.3968
9.6492,1.0613e-10,1.8424e-10,10.073,55.977,6.3121
10.08,1.8607e-10,2.3299e-10,10.254,64.851,6.1701
8.3882,0,1.2067e-10,9.4935,20.002,-Inf
10.266,4.3794e-11,6.154e-11,9.8654,64.195,6.9992
9.665,6.9817e-11,6.9533e-11,9.5701,50.315,6.3693
9.414,1.3433e-10,9.0272e-11,9.6088,37.639,6.1687
9.054,7.7381e-11,9.6336e-11,9.5822,39.927,6.192
10.31,8.8061e-11,1.4331e-10,10.239,75.599,6.3046
10.145,2.7441e-10,1.7124e-10,10.217,70.866,6.3783
9.9331,5.4985e-11,1.0178e-10,10.163,52.971,6.4522
9.0787,1.0382e-10,1.2525e-10,9.6698,39.261,6.2341
10.23,1.9696e-10,1.8682e-10,10.296,65.195,6.5567
10.065,2.2419e-10,1.8395e-10,10.133,59.514,6.696
10.003,2.7958e-10,2.3996e-10,10.287,65.121,6.4647
10.255,3.1364e-10,2.012e-10,10.292,88.349,6.7436
10.238,1.9596e-10,1.0697e-10,10.047,69.844,7.0113
10.185,2.5732e-10,2.1953e-10,10.275,76.545,6.6431
9.7468,1.6406e-10,1.4247e-10,10.11,51.715,6.4969
10.16,1.0367e-10,1.1015e-10,10.173,55.721,6.5158
9.8818,1.0358e-10,8.8612e-11,10.133,44.953,6.6205
9.2835,4.4396e-11,4.9668e-11,9.7185,42.342,6.3362
9.8153,1.5345e-10,1.7974e-10,10.142,55.546,6.5831
10.181,1.4517e-10,1.5913e-10,10.316,64.914,6.4988
9.8375,1.9558e-10,1.5838e-10,10.218,57.465,6.2057
9.2294,8.9141e-11,9.3449e-11,9.7586,45.726,6.3106
8.8999,2.0813e-10,6.6928e-11,9.5172,35.779,-Inf
10.047,1.0051e-10,6.5286e-11,9.9373,62.104,7.1262
10.015,5.2558e-11,1.1275e-10,10.006,58.386,6.8006
8.0323,NaN,NaN,8.8997,17.019,-Inf
10.138,1.3659e-10,1.0667e-10,10.222,57.107,6.8235
9.9574,2.5905e-10,2.1268e-10,10.183,60.871,6.6694
10.325,9.0266e-11,1.132e-10,10.122,71.819,6.9166
10.178,1.6082e-10,1.7809e-10,10.378,58.29,6.2024
9.9506,2.0785e-10,1.1103e-10,10.207,48.599,6.7082
10.074,1.2845e-10,1.0926e-10,9.9115,58.88,7.0161
10.184,3.207e-10,2.5689e-10,10.374,67.401,6.6075
10.4,1.4235e-10,1.0476e-10,10.059,68.226,6.8
10.033,5.4263e-11,8.6356e-11,10.218,55.617,6.6315
10.175,1.485e-10,1.4055e-10,10.278,64.979,6.167
10.146,9.7651e-11,9.2076e-11,10.064,59.567,6.9419
9.9349,1.5688e-10,2.1022e-10,10.231,66.321,6.1411
10.169,1.8993e-10,1.5021e-10,10.187,65.207,6.3793
10.356,1.9285e-10,1.4446e-10,10.186,73.98,6.4266
9.9271,2.067e-10,1.8011e-10,10.364,53.423,6.1076
9.8672,1.3727e-10,1.0927e-10,9.934,55.773,6.5425
10.113,1.8527e-10,2.2581e-10,10.312,67.377,6.437
10.065,3.474e-10,2.0215e-10,10.285,62.519,6.2295
9.3843,5.5804e-10,2.8441e-10,10.06,44.739,6.4722
9.4367,1.2596e-10,1.78e-10,10.032,46.381,6.3727
10.247,2.0595e-10,1.6127e-10,10.261,63.321,-Inf
9.759,1.8728e-10,2.1847e-10,9.5829,55.199,6.2812
10.05,8.5552e-11,1.1634e-10,10.235,51.914,6.4708
10.409,9.6409e-11,1.2726e-10,10.269,55.72,6.3139
10.105,2.2431e-10,2.0758e-10,9.8309,70.027,6.8741
10.091,2.1386e-10,1.3677e-10,10.232,74.807,6.5007
10.041,2.0305e-10,1.9571e-10,10.375,55.978,6.3722
9.9068,1.2288e-10,1.9347e-10,10.201,55.413,6.3087
10.342,9.8366e-11,9.4938e-11,10.081,62.065,7.0404
10.384,7.321e-11,1.0554e-10,10.161,68.007,6.5743
10.029,1.9729e-10,1.2473e-10,9.9531,63.76,6.9589
9.9041,1.0365e-10,1.3885e-10,10.293,52.214,6.5824
9.8724,2.5501e-10,2.0115e-10,10.058,55.304,6.3118
9.4701,1.9171e-10,1.3254e-10,9.5577,43.613,6.0738
9.538,3.3762e-11,5.568e-11,9.6605,46.244,6.2812
8.4111,0,5.8212e-11,9.0602,39.588,-Inf
9.7123,2.235e-11,1.3055e-10,9.84,62.157,6.3836
10.274,1.0489e-10,1.074e-10,10.015,70.344,6.854
9.9891,2.0951e-10,2.4378e-10,10.299,73.22,6.5316
9.6803,1.2281e-10,7.4626e-11,9.6461,47.077,6.5045
9.789,1.5213e-10,1.598e-10,10.055,53.878,6.4738
10.137,2.5445e-10,1.5128e-10,10.147,61.809,6.9117
10.008,1.8728e-10,2.2613e-10,10.307,64.461,6.1108
9.731,2.4788e-10,2.0582e-10,10.004,60.79,6.6076
10.227,1.6943e-10,8.5159e-11,9.9802,69.177,7.0697
10.056,1.1808e-10,1.0185e-10,10.066,58.676,6.3412
9.3924,9.7891e-11,1.27e-10,9.7188,38.597,6.2719
10.005,8.9952e-11,7.1927e-11,9.791,62.626,6.8092
10.144,2.0745e-10,1.5228e-10,10.136,65.633,6.5584
10.062,3.1926e-10,2.7804e-10,10.216,64.818,6.6318
10.242,1.1628e-10,1.5302e-10,10.233,61.669,6.4169
10.007,2.0934e-10,1.8571e-10,10.254,56.824,6.305
10.186,2.8032e-10,1.7027e-10,10.163,74.521,6.5755
9.8939,1.9892e-10,1.9297e-10,10.107,68.904,6.474
9.3916,0,8.4663e-11,9.5348,47.063,6.2077
10.018,2.0914e-10,2.3269e-10,10.039,62.617,6.8124
9.8866,8.723e-11,1.1698e-10,10.083,61.902,6.2354
9.1913,8.3177e-11,8.9008e-11,9.6449,39.903,6.2066
9.9296,5.7495e-11,8.6324e-11,9.7985,65.986,7.0439
10.143,8.3728e-11,8.5104e-11,9.8666,58.735,7.119
10.1,2.5067e-11,3.4447e-11,9.4529,70.764,7.3506
9.6606,1.119e-10,9.8373e-11,9.8153,47.789,6.5488
8.746,0,9.2572e-11,9.5062,31.796,6.3712
10.315,1.1135e-10,9.066e-11,9.8497,72.975,6.9309
8.6945,1.8535e-10,1.4278e-10,9.4248,38.721,-Inf
10.116,3.186e-11,3.7982e-11,9.798,59.257,7.1621
10.16,2.9645e-10,2.425e-10,9.9347,71.468,6.4388
10.143,3.0088e-10,2.0034e-10,10.299,56.984,6.6259
10.066,1.9161e-10,1.6513e-10,10.194,63.225,6.366
10.128,1.419e-10,1.7253e-10,9.957,64.917,6.8846
10.228,7.5886e-11,5.7561e-11,9.8638,63.336,7.0791
9.9216,2.0829e-10,2.0966e-10,10.205,60.627,6.1275
10.054,1.116e-10,1.0829e-10,9.7806,70.028,6.7516
8.1886,0,3.6899e-11,8.8838,19.06,-Inf
9.9783,1.449e-10,1.6378e-10,10.122,51.684,6.3723
9.9329,1.2985e-10,1.45e-10,10.081,53.426,6.3695
10.132,1.2236e-10,2.0105e-10,10.282,62.125,6.6441
10.041,1.481e-10,1.0425e-10,9.8648,56.681,6.9422
9.6608,4.1587e-11,8.3651e-11,9.9868,59.428,6.3127
9.2766,2.4271e-10,6.6024e-11,9.6397,48.771,6.0528
10.167,4.4813e-10,2.0044e-10,10.275,80.205,6.3099
10.289,1.7292e-10,1.5264e-10,10.216,71.587,6.4429
10.123,1.2842e-10,1.0578e-10,10.283,59.927,6.5371
10.194,1.3008e-10,1.1739e-10,10.245,59.64,6.3696
9.93,7.3154e-11,1.0712e-10,9.9477,57.209,6.2301
9.3139,6.8818e-11,4.8746e-11,9.4517,43.43,6.3004
10.363,1.1175e-10,9.635e-11,9.9414,75.131,7.1026
10.467,8.6297e-11,1.212e-10,10.086,72.006,6.4724
9.9911,1.8732e-10,1.3326e-10,9.9482,55.544,6.9452
10.146,1.4846e-10,1.0659e-10,9.8936,63.305,7.4644
10.21,1.6445e-10,2.0006e-10,10.278,75.035,6.3333
9.8768,2.0025e-10,1.6377e-10,10.254,45.368,6.4519
9.0941,0,8.3228e-11,9.6136,43.451,-Inf
10.325,1.1288e-10,1.5575e-10,10.313,57.87,6.7058
10.311,1.7407e-10,1.1101e-10,10.044,66.898,6.9431
9.6516,1.7692e-10,1.1253e-10,10.134,46.02,6.2605
10.12,1.3512e-10,1.1208e-10,10.173,56.845,6.4273
8.3052,0,1.4992e-10,9.2317,0.78134,-Inf
10.291,1.7406e-10,1.6666e-10,10.247,71.177,6.6183
10.163,2.0611e-10,1.5941e-10,10.276,62.146,6.6129
10.242,1.0427e-10,1.4879e-10,10.182,72.162,6.3281
10.252,5.3045e-11,9.2025e-11,10.172,59.039,6.5971
10.16,6.6352e-11,1.2712e-10,9.964,65.334,6.7875
9.8586,2.0362e-10,1.6826e-10,10.25,49.257,6.4404
10.102,1.2707e-10,1.2156e-10,10.162,60.923,6.3519
9.7984,4.259e-10,2.4078e-10,10.224,53.73,6.4339
10.054,3.99e-11,1.1507e-10,10.213,57.242,6.3465
10.077,1.0361e-10,8.1509e-11,10.09,58.373,6.7793
10.287,8.3358e-11,6.8283e-11,9.9251,64.669,7.07
9.6249,1.2152e-10,1.3041e-10,10.125,49.815,6.5677
9.7644,1.545e-10,1.3197e-10,10.132,55.016,6.3162
8.2689,0,1.0686e-10,9.2596,20.526,-Inf
10.217,2.1068e-10,1.4875e-10,10.155,71.953,6.4627
9.6621,9.2773e-11,2.2216e-10,9.9475,60.274,6.3181
10.214,1.0773e-10,9.6461e-11,9.9274,69.135,6.8769
10.211,9.8101e-11,1.1276e-10,10.048,66.727,6.8915
8.1327,NaN,NaN,9.0688,33.067,6.1343
9.7638,1.075e-10,1.3138e-10,10.103,48.782,6.0501
9.355,1.9703e-10,9.0467e-11,9.5179,47.089,6.3389
10.115,1.8412e-10,1.9988e-10,10.342,58.011,6.5885
10.219,1.2717e-10,1.29e-10,10.02,67.314,7.2039
9.8361,7.404e-11,1.7963e-10,10.105,46.209,6.355
10.004,5.2363e-11,8.2372e-11,9.9799,65.977,6.9492
8.2145,0,8.6374e-11,9.2511,28.432,-Inf
9.9239,9.9442e-11,8.8559e-11,9.9257,57.946,6.9166
10.324,1.9049e-10,1.6168e-10,10.184,73.72,6.4688
10.226,1.8967e-10,1.4578e-10,10.219,75.63,6.4589
9.9417,1.5264e-10,1.5387e-10,9.9055,60.005,6.5086
9.6973,2.8675e-11,4.4194e-11,9.6074,52.497,6.8743
9.1034,5.7075e-11,6.1946e-11,9.1615,30.311,6.2447
8.8497,0,3.593e-11,9.3508,30.681,-Inf
10.178,2.0133e-10,1.3104e-10,9.9671,65.431,6.9615
10.272,1.2224e-10,1.3214e-10,10.145,70.052,6.647
9.8695,1.174e-10,2.0221e-10,10.101,57.002,6.6512
10.321,2.3938e-10,1.5854e-10,10.26,63.488,6.3437
9.8956,2.6648e-10,2.2694e-10,10.261,58.777,6.191
10.045,1.2877e-10,1.2361e-10,10.263,61.164,6.7291
10.226,2.6057e-10,1.7706e-10,10.227,66.338,6.4677
9.8507,1.0527e-10,1.0452e-10,10.242,47.128,6.5056
10.291,1.3318e-10,9.4389e-11,10.135,64.841,6.4087
10.284,8.6791e-11,8.0283e-11,9.9518,64.82,7.2019
10.065,2.8363e-10,2.5815e-10,10.248,61.712,6.6535
10.204,1.732e-10,1.0912e-10,10.105,73.112,6.7898
9.9415,1.2517e-10,1.5661e-10,10.119,60.04,6.3561
9.9574,1.7568e-10,1.8879e-10,10.354,48.194,6.4291
9.881,2.0767e-10,2.1857e-10,10.32,42.749,6.1951
10.314,1.3986e-10,1.6567e-10,10.258,63.733,6.2687
10.074,2.2159e-10,1.6257e-10,10.194,69,6.5381
10.339,1.7608e-11,2.9457e-11,9.7892,70.363,7.1885
9.6971,5.6195e-11,3.2899e-11,9.1326,51.793,6.6358
10.034,1.0481e-10,9.6759e-11,9.9283,63.047,6.4184
10.282,7.1402e-11,5.8789e-11,9.8292,68.245,6.7721
10.098,1.8734e-10,1.5e-10,10.12,66.797,6.7654
9.4611,1.3472e-10,1.4382e-10,9.9486,42.408,6.1458
9.1456,0,4.069e-11,9.5132,43.334,6.1314
10.244,1.2731e-10,1.6321e-10,10.277,72.89,6.5624
10.033,2.4218e-10,2.3307e-10,9.906,75.942,6.6175
8.4871,0,9.2892e-11,9.4354,22.591,-Inf
10.172,2.5605e-10,1.8106e-10,10.23,64.945,6.5617
9.8753,4.8116e-10,1.409e-10,9.7254,67.053,6.6759
10.038,6.0016e-11,1.5154e-10,10.184,53.518,6.6544
9.9603,5.373e-11,9.2095e-11,10.087,61.248,6.6505
9.6331,1.4493e-10,1.3428e-10,10.008,46.586,6.2985
9.4365,1.0907e-10,6.1134e-11,9.7715,51.241,6.2883
8.1081,NaN,NaN,9.0715,18.201,-Inf
10.311,8.9003e-11,1.4725e-10,10.184,76.618,6.4361
10.236,1.5034e-10,1.3619e-10,10.228,65.681,6.4701
10.176,1.6992e-10,1.0824e-10,9.912,69.78,6.9692
9.7514,1.2012e-10,9.7648e-11,9.7611,49.314,6.7163
9.6817,6.4008e-11,7.9364e-11,9.7842,46.54,6.22
10.101,8.988e-11,7.5716e-11,10.085,54.52,6.6844
10.038,2.3425e-10,2.0086e-10,10.127,75.141,6.4457
8.1343,NaN,NaN,9.3553,22.504,-Inf
10.098,1.3995e-10,1.3823e-10,10.261,52.796,6.6135
10.179,2.3621e-10,2.1159e-10,10.342,80.087,6.1144
10.334,1.0146e-10,1.47e-10,10.247,70.372,6.9269
9.6462,1.1526e-10,1.4051e-10,10.003,47.966,6.4547
9.5133,1.0089e-10,1.459e-10,9.7149,47.724,6.2558
10.213,1.027e-10,8.8591e-11,9.949,62.587,6.817
10.217,1.2294e-10,1.6009e-10,9.9694,75.708,6.8938
10.196,1.8109e-10,1.6879e-10,10.218,63.781,6.3255
10.433,9.9252e-11,1.1263e-10,10.221,71.297,6.642
10.089,1.1194e-10,9.0332e-11,9.9591,59.726,6.8472
10.194,9.5791e-11,1.0313e-10,10.217,59.03,6.4254
10.174,1.6002e-10,1.4532e-10,10.232,69.97,6.0929
9.8745,0,4.4295e-12,8.8455,68.45,7.5039
10.335,9.4464e-11,1.4784e-10,10.214,66.323,6.4766
10.38,1.0184e-10,1.0999e-10,10.028,63.836,6.9762
10.24,1.1872e-10,8.2462e-11,10.01,61.363,6.9117
10.193,0,2.121e-12,8.7867,70.143,7.2646
10.245,1.6701e-10,1.2367e-10,10.006,72.102,6.6992
10.336,1.2232e-10,1.2763e-10,10.165,75.012,6.2653
9.8065,1.6937e-10,2.2278e-10,10.152,67.163,6.1032
9.9904,9.4959e-11,1.0532e-10,9.9722,58.319,6.9066
10.121,7.566e-11,1.1917e-10,10.095,65.002,6.8013
10.107,1.4142e-10,1.5836e-10,10.336,56.926,6.4971
10.417,1.2174e-10,1.1876e-10,10.109,77.822,6.542
10.253,1.0937e-10,1.0322e-10,9.9214,71.039,6.8372
10.152,4.1456e-11,1.0742e-10,10.075,66.468,6.8039
10.343,1.4536e-10,1.5572e-10,10.23,65.28,6.497
10.305,1.9047e-10,1.297e-10,10.205,77.192,6.4949
10.161,1.2053e-10,1.2291e-10,9.9974,71.3,6.8851
10.038,1.7623e-10,1.1523e-10,9.8961,55.377,7.0749
9.8312,4.3446e-11,3.5941e-11,9.7879,61.226,6.9938
10.068,7.9834e-11,5.0641e-11,9.7039,55.365,6.725
10.145,7.972e-11,7.2844e-11,9.7829,65.356,6.9643
10.097,1.5205e-10,8.5021e-11,10.212,51.882,6.6266
10.159,9.9921e-11,8.3235e-11,9.7966,61.373,7.3766
10.01,1.2288e-10,1.2271e-10,9.9789,65.004,6.8875
9.9677,6.8768e-11,1.2971e-10,10.087,55.732,6.5022
10.026,7.4592e-11,1.3626e-10,10.025,57.3,6.7201
9.2387,0,1.1042e-10,9.697,40.143,6.2838
8.7663,0,4.2321e-11,9.1751,37.41,-Inf
10.022,9.6933e-11,1.0014e-10,10.095,50.375,6.8141
10.237,1.5886e-10,1.8726e-10,10.362,70.164,6.3591
10.135,1.1093e-10,1.5165e-10,10.056,69.895,6.9098
10.314,1.2921e-10,1.6177e-10,10.265,73.605,6.3172
10.197,6.946e-11,1.5911e-10,10.132,60.07,6.7863
8.0472,NaN,NaN,9.0163,17.091,-Inf
10.14,9.5491e-11,1.0255e-10,10.074,66.123,6.5371
9.3402,3.6697e-11,6.7464e-11,9.8197,38.713,6.2193
9.863,3.8365e-10,1.5647e-10,10.128,52.704,6.5328
10.227,2.6063e-10,1.5515e-10,10.237,64.051,6.3121
9.9942,7.2689e-11,1.1673e-10,10.162,60.73,6.7419
10.12,9.0317e-11,1.4802e-10,10.225,67.251,6.2231
9.8934,2.4023e-10,1.9302e-10,10.217,58.748,6.2774
8.9146,0,1.5778e-10,9.5664,36.726,5.9562
10.082,1.5507e-10,8.5269e-11,10.049,57.155,6.8879
10.244,1.5163e-10,1.5582e-10,10.202,75.216,6.6172
10.086,7.6138e-11,1.1729e-10,10.12,56.054,6.8421
8.5323,0,8.9217e-11,9.3718,32.372,6.142
10.241,1.4752e-10,1.6676e-10,10.251,74.211,6.3393
9.8457,9.6064e-11,1.028e-10,10.001,46.768,6.3527
9.6324,7.3889e-11,1.2142e-10,9.6548,46.166,6.3324
9.809,2.8653e-10,3.1708e-10,10.151,62.65,6.497
8.8267,0,8.6995e-11,9.458,38.807,-Inf
8.877,0,1.0605e-10,9.5468,46.262,6.3139
10.169,1.3834e-10,1.0489e-10,9.9457,65.2,6.9084
9.3355,1.4882e-10,1.3818e-10,10.008,42.507,6.0955
9.4074,1.3908e-10,1.1936e-10,9.6849,40.038,5.9535
